"Year","Value"
197107,-0.1207
197108,-0.1518
197109,-0.1536
197110,-0.174
197111,0.0835
197112,-0.0208
197201,-0.606
197202,-0.4767
197203,-0.0663
197204,-0.0214
197205,-0.0847
197206,-0.0116
197207,-0.0178
197208,-0.042
197209,-0.2141
197210,-0.0771
197211,-0.159
197212,0.0226
197301,0.0813
197302,0.3923
197303,0.3251
197304,0.183
197305,0.1603
197306,0.1743
197307,0.0523
197308,0.0264
197309,-0.0477
197310,-0.0559
197311,-0.0518
197312,0.0701
197401,-0.3805
197402,-0.3942
197403,-0.0375
197404,-0.0613
197405,-0.1432
197406,-0.1365
197407,-0.0864
197408,-0.1137
197409,-0.1094
197410,-0.2323
197411,-0.1949
197412,-0.2285
197501,0.1671
197502,0.0049
197503,0.1693
197504,0.067
197505,0.0183
197506,-0.0397
197507,-0.0628
197508,-0.116
197509,-0.0488
197510,-0.15
197511,-0.2419
197512,-0.0923
197601,0.0592
197602,-0.2048
197603,-0.4114
197604,-0.0028
197605,-0.1842
197606,-0.1822
197607,-0.2148
197608,-0.1742
197609,-0.1026
197610,-0.4464
197611,-0.2771
197612,-0.1835
197701,-0.2942
197702,0.1069
197703,0.3179
197704,0.2599
197705,0.2235
197706,0.2368
197707,0.0893
197708,0.0359
197709,0.1504
197710,-0.0224
197711,0.2843
197712,0.0467
197801,0.1567
197802,0.0944
197803,0.2286
197804,0.1636
197805,-0.0381
197806,-0.0564
197807,-0.0728
197808,-0.1179
197809,0.019
197810,0.0388
197811,0.2181
197812,0.0702
197901,0.0182
197902,-0.1024
197903,0.1979
197904,-0.0917
197905,0.0531
197906,0.1423
197907,0.0643
197908,0.0824
197909,0.2015
197910,0.1991
197911,0.1697
197912,0.5743
198001,0.1999
198002,0.2717
198003,0.0046
198004,0.2136
198005,0.2313
198006,0.2318
198007,0.1652
198008,0.1222
198009,0.1241
198010,0.0763
198011,0.3118
198012,0.1708
198101,0.6432
198102,0.4895
198103,0.5922
198104,0.4025
198105,0.1986
198106,0.2855
198107,0.1557
198108,0.1951
198109,0.16
198110,0.1559
198111,0.2155
198112,0.5371
198201,-0.031
198202,0.133
198203,0.0146
198204,0.2148
198205,0.1405
198206,0.0738
198207,0.0811
198208,-0.0054
198209,0.1081
198210,0.0555
198211,-0.057
198212,0.4205
198301,0.4947
198302,0.378
198303,0.363
198304,0.1477
198305,0.1374
198306,0.1492
198307,0.2363
198308,0.2986
198309,0.268
198310,0.1127
198311,0.5409
198312,0.1946
198401,0.256
198402,-0.0048
198403,0.2473
198404,0.0529
198405,0.2943
198406,0.0784
198407,0.0546
198408,0.0866
198409,-0.006
198410,-0.039
198411,-0.1654
198412,-0.4434
198501,0.0257
198502,-0.3092
198503,0.0362
198504,0.041
198505,0.0821
198506,0.0403
198507,-0.0888
198508,-0.0078
198509,-0.0272
198510,-0.0165
198511,-0.0026
198512,0.1228
198601,0.3755
198602,0.2463
198603,0.2691
198604,0.2162
198605,0.1742
198606,0.1746
198607,0.0378
198608,0.0733
198609,0.0499
198610,0.0911
198611,0.018
198612,0.1035
198701,0.2101
198702,0.5718
198703,0.0726
198704,0.0948
198705,0.2774
198706,0.2058
198707,0.325
198708,0.335
198709,0.4106
198710,0.2097
198711,0.1353
198712,0.6038
198801,0.5364
198802,0.2741
198803,0.4482
198804,0.459
198805,0.3718
198806,0.4225
198807,0.4083
198808,0.2752
198809,0.2858
198810,0.2224
198811,0.1913
198812,0.4543
198901,0.1517
198902,0.3252
198903,0.3975
198904,0.279
198905,0.2718
198906,0.2725
198907,0.3258
198908,0.2811
198909,0.2797
198910,0.2754
198911,0.1793
198912,0.4417
199001,0.3443
199002,0.4312
199003,1.0237
199004,0.5331
199005,0.4102
199006,0.4421
199007,0.2772
199008,0.3423
199009,0.3533
199010,0.45
199011,0.5046
199012,0.4642
199101,0.5415
